Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
D1,D,Diode_TH_SMD,69.342,-28.197,90.0,top
D2,D,Diode_TH_SMD,69.342,-38.608,90.0,top
D3,D,Diode_TH_SMD,88.265,-33.525,90.0,top
D4,D,Diode_TH_SMD,107.315,-33.525,90.0,top
LED1,LED_SK6812MINI-E,LED_SK6812MINI-E_BL,40.4813,-37.58,0.0,top
LED2,LED_SK6812MINI-E,LED_SK6812MINI-E_BL,59.75,-37.58,0.0,top
LED3,LED_SK6812MINI-E,LED_SK6812MINI-E_BL,78.8,-37.58,0.0,top
LED4,LED_SK6812MINI-E,LED_SK6812MINI-E_BL,97.4125,-38.1,0.0,top
SW1,SW_Push,CherryMX_1u,40.4813,-33.3375,0.0,top
SW2,SW_Push,CherryMX_1u,59.5313,-33.3375,0.0,top
SW3,SW_Push,CherryMX_1u,78.5813,-33.3375,0.0,top
SW4,SW_Push,CherryMX_1u,97.6313,-33.3375,0.0,top
SW5,SW_Push,ResetSW_1side,94.794,-23.114,180.0,bottom
U1,ProMicro,ProMicro_v2_1side,47.9425,-32.9186,90.0,top
